Entity,Year,Both,Male,Female,WHO region
Afghanistan,2016,5.5,3.2,7.6,Eastern Mediterranean
Albania,2016,21.7,21.6,21.8,Europe
Algeria,2016,27.4,19.9,34.9,Africa
Andorra,2016,25.6,25.9,25.3,Europe
Angola,2016,8.2,4.0,12.1,Africa
Antigua and Barbuda,2016,18.9,11.6,25.9,Americas
Argentina,2016,28.3,27.3,29.0,Americas
Armenia,2016,20.2,17.1,23.0,Europe
Australia,2016,29.0,29.6,28.4,Western Pacific
Austria,2016,20.1,21.9,18.3,Europe
Azerbaijan,2016,19.9,15.8,23.6,Europe
Bahamas,2016,31.6,24.4,38.1,Americas
Bahrain,2016,29.8,25.5,36.8,Eastern Mediterranean
Bangladesh,2016,3.6,2.3,5.0,South-East Asia
Barbados,2016,23.1,14.7,31.3,Americas
Belarus,2016,24.5,22.1,26.3,Europe
Belgium,2016,22.1,23.1,21.0,Europe
Belize,2016,24.1,16.5,31.5,Americas
Benin,2016,9.6,4.7,14.2,Africa
Bhutan,2016,6.4,4.7,8.5,South-East Asia
Bolivia,2016,20.2,14.5,25.6,Americas
Bosnia and Herz.,2016,17.9,17.1,18.4,Europe
Botswana,2016,18.9,8.1,29.3,Africa
Brazil,2016,22.1,18.5,25.4,Americas
Brunei,2016,14.1,12.5,15.7,Western Pacific
Bulgaria,2016,25.0,25.5,24.3,Europe
Burkina Faso,2016,5.6,2.6,8.1,Africa
Burundi,2016,5.4,2.1,8.6,Africa
Cambodia,2016,3.9,2.7,4.8,Western Pacific
Cameroon,2016,11.4,6.1,16.4,Africa
Canada,2016,29.4,29.5,29.3,Americas
Cape Verde,2016,11.8,6.9,16.3,Africa
Central African Rep.,2016,7.5,3.7,10.9,Africa
Chad,2016,6.1,3.1,8.9,Africa
Chile,2016,28.0,24.9,31.0,Americas
China,2016,6.2,5.9,6.5,Western Pacific
Colombia,2016,22.3,17.6,26.6,Americas
Comoros,2016,7.8,3.3,12.2,Africa
Congo,2016,9.6,5.5,13.5,Africa
Cook Islands,2016,55.9,52.6,59.2,Western Pacific
Costa Rica,2016,25.7,21.1,30.4,Americas
Côte d'Ivoire,2016,10.3,5.8,15.2,Africa
Croatia,2016,24.4,24.1,24.5,Europe
Cuba,2016,24.6,18.9,30.3,Americas
Cyprus,2016,21.8,21.9,21.6,Europe
Czechia,2016,26.0,26.4,25.4,Europe
Dem. Rep. Congo,2016,6.7,3.6,9.7,Africa
Denmark,2016,19.7,22.3,17.0,Europe
Djibouti,2016,13.5,8.6,18.3,Eastern Mediterranean
Dominica,2016,27.9,19.9,35.6,Americas
Dominican Rep.,2016,27.6,21.0,34.1,Americas
Ecuador,2016,19.9,14.9,24.7,Americas
Egypt,2016,32.0,22.7,41.1,Eastern Mediterranean
El Salvador,2016,24.6,18.9,28.9,Americas
Eq. Guinea,2016,8.0,3.8,12.6,Africa
Eritrea,2016,5.0,2.0,7.6,Africa
