Entity,Year,Both,Male,Female,WHO region
Afghanistan,2016,19.7,19.7,26.1,Eastern Mediterranean
Albania,2016,58.7,64.4,51.1,Europe
Algeria,2016,60.7,57.8,66.1,Africa
Andorra,2016,68.1,70.3,56.9,Europe
Angola,2016,23.9,19.5,34.9,Africa
Antigua and Barbuda,2016,48.4,40.1,55.6,Americas
Argentina,2016,63.4,66.2,59.3,Americas
Armenia,2016,55.7,54.2,54.4,Europe
Australia,2016,67.2,70.9,58.1,Western Pacific
Austria,2016,58.1,61.8,46.8,Europe
Azerbaijan,2016,53.5,52.9,54.1,Europe
Bahamas,2016,65.2,60.3,68.1,Americas
Bahrain,2016,64.4,64.0,68.5,Eastern Mediterranean
Bangladesh,2016,19.0,18.0,22.2,South-East Asia
Barbados,2016,55.3,44.7,59.9,Americas
Belarus,2016,62.9,62.6,56.3,Europe
Belgium,2016,64.1,67.6,51.4,Europe
Belize,2016,51.8,48.1,61.2,Americas
Benin,2016,26.3,21.2,37.3,Africa
Bhutan,2016,25.4,25.2,29.6,South-East Asia
Bolivia,2016,53.2,52.2,59.8,Americas
Bosnia and Herz.,2016,56.4,59.7,47.0,Europe
Botswana,2016,38.4,29.7,56.5,Africa
Brazil,2016,56.9,57.6,55.4,Americas
Brunei,2016,42.2,41.0,41.4,Western Pacific
Bulgaria,2016,66.3,68.9,54.4,Europe
Burkina Faso,2016,20.0,16.1,29.2,Africa
Burundi,2016,19.3,13.9,30.1,Africa
Cambodia,2016,20.3,18.6,24.2,Western Pacific
Cameroon,2016,29.7,25.2,41.7,Africa
Canada,2016,67.5,69.8,58.5,Americas
Cape Verde,2016,32.1,27.5,41.4,Africa
Central African Rep.,2016,23.2,18.3,33.2,Africa
Chad,2016,19.5,16.0,29.8,Africa
Chile,2016,64.4,64.7,61.4,Americas
China,2016,33.8,34.5,30.1,Western Pacific
Colombia,2016,58.6,56.6,61.2,Americas
Comoros,2016,24.8,18.2,35.7,Africa
Congo,2016,28.1,24.2,37.4,Africa
Cook Islands,2016,83.9,83.7,85.8,Western Pacific
Costa Rica,2016,61.5,59.9,63.3,Americas
Côte d'Ivoire,2016,28.7,24.5,39.5,Africa
Croatia,2016,64.3,66.2,53.0,Europe
Cuba,2016,62.2,54.5,62.5,Americas
Cyprus,2016,60.8,65.2,52.7,Europe
Czechia,2016,66.7,69.5,55.0,Europe
Dem. Rep. Congo,2016,22.1,18.0,32.0,Africa
Denmark,2016,59.2,63.6,47.3,Europe
Djibouti,2016,35.7,32.3,44.6,Eastern Mediterranean
Dominica,2016,60.7,54.7,65.7,Americas
Dominican Rep.,2016,59.9,56.9,65.3,Americas
Ecuador,2016,54.9,52.6,59.2,Americas
Egypt,2016,61.9,57.2,69.5,Eastern Mediterranean
El Salvador,2016,56.8,57.0,62.3,Americas
Eq. Guinea,2016,25.1,18.7,35.5,Africa
Eritrea,2016,19.2,14.7,28.3,Africa
Estonia,2016,60.4,59.6,51.9,Europe
Ethiopia,2016,18.1,13.4,28.0,Africa
Fiji,2016,63.4,59.9,67.7,Western Pacific
Finland,2016,62.5,65.6,50.0,Europe
France,2016,62.9,66.9,52.2,Europe
